gene_id	gene_short_name	halflife_160412_r1	halflife_160412_r2
YBR041W	FAT1	3.143418286	4.15012
YBR042C	CST26	3.036056678	3.047217961
YBR043C	QDR3	2.492841674	2.962378632
YBR044C	TCM62	2.221741835	4.060277566
YBR045C	GIP1	3.500425765	4.282621916
YBR046C	ZTA1	5.589009194	NA
YBR047W	FMP23	NA	NA
YBR048W	RPS11B	22.0579442	19.327781
YBR049C	REB1	3.091575965	2.59048821
YBR050C	REG2	NA	NA
YBR051W	YBR051W	NA	NA
YBR052C	RFS1	10.53411099	26.53556778
YBR053C	YBR053C	6.549231486	11.20852022
YBR054W	YRO2	6.158246729	7.241386378
YBR055C	PRP6	2.639677839	3.088405837
YBR056C-B	YBR056C-B	NA	NA
YBR056W	YBR056W	5.833790091	9.114416275
YBR056W-A	YBR056W-A	NA	NA
YBR057C	MUM2	2.142240721	1.803379366
YBR058C	UBP14	4.048762973	4.328834917
YBR058C-A	TSC3	3.214728153	5.762655002
YBR059C	AKL1	3.656888364	3.501450801
YBR060C	ORC2	1.990053249	2.752387846
YBR061C	TRM7	4.303568789	3.158237523
YBR062C	YBR062C	6.441801293	8.053479952
YBR063C	YBR063C	2.084733015	1.690006664
YBR064W	YBR064W	2.324877461	2.702358252
YBR065C	ECM2	2.425177136	1.879807141
YBR066C	NRG2	2.331755171	4.72634054
YBR067C	TIP1	10.21032837	11.06652352
YBR068C	BAP2	1.264872444	1.354678767
YBR069C	TAT1	2.333402251	2.755156977
YBR070C	ALG14	4.936494875	4.968383902
YBR071W	YBR071W	1.949274194	3.00158297
YBR072C-A	YBR072C-A	NA	NA
YBR072W	HSP26	NA	NA
YBR073W	RDH54	3.410438333	3.382853417
YBR074W	YBR074W	4.319034649	4.696701496
YBR076C-A	YBR076C-A	3.175076254	1.052693367
YBR076W	ECM8	NA	7.154344417
YBR077C	SLM4	3.603464055	4.06890814
YBR078W	ECM33	9.05567765	9.548705663
YBR079C	RPG1	5.901860201	6.400219819
YBR080C	SEC18	6.152660967	6.357645087
YBR081C	SPT7	2.028200702	3.593666928
YBR082C	UBC4	11.14255307	14.29527872
YBR083W	TEC1	1.541815384	1.705020038
YBR084C-A	RPL19A	15.3298853	16.5703433
YBR084W	MIS1	8.937473427	6.282727004
YBR085C-A	YBR085C-A	11.79684767	11.88084644
YBR085W	AAC3	5.789613223	4.813880239
YBR086C	IST2	3.987495271	4.742463316
YBR087W	RFC5	4.155288397	3.973340963
YBR088C	POL30	4.435069422	4.420962213
YBR089C-A	NHP6B	6.373080985	10.46567872
YBR089W	YBR089W	4.655812779	4.18600847
YBR091C	TIM12	2.281743683	3.116131191
YBR092C	PHO3	6.924074947	5.692354074
YBR093C	PHO5	9.512639735	9.234536584
YBR094W	PBY1	3.657660679	4.628674519
YBR095C	RXT2	1.076509695	1.936896019
YBR096W	YBR096W	4.59389422	5.16701648
YBR097W	VPS15	2.449885612	3.416460988
YBR098W	MMS4	3.175146865	2.763285313
YBR099C	YBR099C	6.459508235	7.061534553
YBR101C	FES1	6.384470526	3.15888951
YBR102C	EXO84	3.160065501	3.21397388
YBR103C-A	YBR103C-A	NA	NA
YBR103W	SIF2	2.363894214	2.89703159
YBR104W	YMC2	3.212838772	2.653993535
YBR105C	VID24	1.39293717	1.680669478
YBR106W	PHO88	10.82985677	9.433954359
YBR107C	IML3	3.563443489	3.550156714
YBR108W	AIM3	4.531693077	4.250691766
YBR109C	CMD1	17.56487638	19.96841429
YBR109W-A	YBR109W-A	NA	NA
YBR110W	ALG1	3.040608843	3.911982457
YBR111C	YSA1	11.38956588	16.18247283
YBR111W-A	SUS1	3.677577897	NA
YBR112C	CYC8	1.621544653	2.912829013
YBR113W	YBR113W	2.340419292	2.784912427
YBR114W	RAD16	1.47606621	2.510190249
YBR115C	LYS2	4.682703951	5.202809512
YBR116C	YBR116C	NA	NA
YBR117C	TKL2	4.502062187	NA
